iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
111,113664,35.2357,149.6,0.9,0.86,1.170257,-0.067191,15.619074,9.7e-05,3125,0.14513,-0.01,0.00944,-0.00056,-0.00192,0.00431,0.38434
112,114688,36.43336,129.57143,1.0,0.87,1.180875,-0.000439,18.335936,0.000175,3581,0.14581,-0.01,0.00819,-0.00437,-0.00125,0.0012,0.31937
113,115712,32.8092,130.375,0.875,0.88,1.173292,-0.075215,24.858443,0.000919,3584,0.16484,-0.01,0.00725,-0.01111,-0.00133,-0.00791,0.36477
114,116736,33.54858,144.33333,0.83333,0.88,1.132589,0.085329,18.114448,0.000266,3426,0.14858,-0.01,0.00815,-0.00345,-0.00237,0.00193,0.24292
115,117760,24.30399,141.5,0.75,0.87,1.077118,0.022166,19.556672,0.000339,3484,0.14308,-0.01,0.00962,-0.00213,-0.00088,-0.00609,0.25538
116,118784,31.86603,125.55556,1.0,0.88,1.206504,0.023062,20.369035,0.000486,3418,0.14732,-0.01,0.00928,-0.00089,-0.00154,0.00219,0.34847
117,119808,34.66478,109.77778,0.88889,0.88,1.151871,0.031449,20.231419,0.000112,3143,0.14403,-0.01,0.00987,-0.0023,-0.00194,-0.0023,0.34735
118,120832,41.33396,119.66667,0.88889,0.88,1.177493,0.050691,21.408674,0.001047,3173,0.14436,-0.01,0.00997,-0.00135,-0.00177,-0.00615,0.41139
119,121856,40.52027,110.90909,1.0,0.9,1.138128,0.135019,18.384861,0.000352,2998,0.14472,-0.01,0.01109,-0.00041,-0.00122,0.00584,0.46888
120,122880,39.51021,100.11111,0.88889,0.91,1.110413,-0.013354,14.490888,0.001818,3242,0.13825,-0.01,0.00966,0.0001,-0.00226,-0.00496,0.38189
121,123904,30.94373,119.8,1.0,0.92,1.122254,-0.000147,26.220482,6.2e-05,3490,0.14107,-0.01,0.0096,-0.00388,-0.00125,-0.00197,0.39528
122,124928,35.6668,111.375,0.875,0.91,1.100491,0.035143,25.053308,0.000625,3124,0.14426,-0.01,0.01105,-0.00057,-0.00193,-0.00403,0.3271
123,125952,38.40885,110.77778,1.0,0.92,1.083836,0.007717,20.768287,0.000254,3270,0.14894,-0.01,0.00867,-0.00116,-0.00214,0.00242,0.40341
124,126976,39.82945,109.55556,1.0,0.93,1.136946,0.000491,14.535226,0.000466,3249,0.13938,-0.01,0.00954,-0.00167,-0.00228,0.00165,0.40375
125,128000,27.16808,116.0,0.88889,0.93,1.116841,-0.000183,17.328872,0.000142,3346,0.15343,-0.01,0.00845,-0.0016,-0.00228,-0.01484,0.2985
126,129024,36.81021,123.57143,1.0,0.95,1.016867,-0.082436,28.279908,0.000585,3345,0.13109,-0.01,0.00944,-0.00075,-0.00254,0.00109,0.29986
127,130048,36.63043,107.54545,1.0,0.95,1.119862,-0.000661,20.538591,0.000154,3210,0.14602,-0.01,0.01066,-0.002,-0.00222,0.00246,0.44682
128,131072,37.98565,113.77778,1.0,0.96,1.116177,-0.038708,12.762586,0.000232,3188,0.14171,-0.01,0.0094,-0.00089,-0.00206,0.00036,0.38102
129,132096,31.87781,112.125,0.875,0.96,1.236099,0.0653,23.516483,0.000556,3264,0.13208,-0.01,0.00857,-0.00106,-0.00228,-0.00753,0.31038
130,133120,32.29754,131.14286,1.0,0.96,1.135011,-0.000945,18.533521,0.000217,3306,0.1431,-0.01,0.00832,-0.00139,-0.00178,-0.01697,0.27494
131,134144,33.17316,162.14286,0.71429,0.95,1.158312,-0.000648,15.701393,0.000377,3292,0.14789,-0.01,0.00712,-0.00132,-0.00264,0.00263,0.25734
132,135168,39.25701,128.0,0.88889,0.94,1.146907,-0.038451,20.528973,0.000337,3136,0.13503,-0.01,0.00849,-0.00274,-0.00194,-0.01241,0.39816
133,136192,29.35298,99.0,0.75,0.92,1.052983,-0.024783,19.532477,0.000182,3353,0.13969,-0.01,0.0079,0.0008,-0.00145,-0.01237,0.29541
134,137216,37.52565,131.875,1.0,0.93,1.088114,-0.000317,19.125625,0.000265,3285,0.14793,-0.01,0.01058,-0.00026,-0.00194,0.00423,0.3398
135,138240,38.82668,113.66667,1.0,0.93,1.246244,-0.041167,24.125479,0.000821,3055,0.14228,-0.01,0.00973,-0.00285,-0.00155,-0.0213,0.40555
136,139264,39.1024,108.0,0.88889,0.92,1.15428,-0.009303,16.86485,0.000588,3148,0.14867,-0.01,0.00866,-0.00079,-0.00154,-0.00452,0.38915
