iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
109,111616,41.6528,71.77778,1.0,0.9,0.776149,-0.000401,33.14269,0.000518,2352,0.19189,-0.01,0.04122,-0.00095,-0.00385,-0.06169,0.4584
110,112640,39.55519,138.55556,0.77778,0.9,0.7075,-0.042043,24.655582,0.001266,2301,0.17587,-0.01,0.04614,0.00058,-0.00279,-0.00291,0.36536
111,113664,44.67469,133.54545,0.81818,0.91,0.76413,0.000323,20.522626,0.000693,2365,0.18102,-0.01,0.05089,0.00023,-0.00317,-0.03275,0.47597
112,114688,62.71875,120.5,1.0,0.91,0.80926,0.00014,17.403148,0.003325,2502,0.18672,-0.01,0.04604,-0.00113,-0.00267,-0.01187,0.22655
113,115712,40.65866,146.77778,0.77778,0.89,0.923508,-0.000277,28.477677,0.000475,2696,0.2168,-0.01,0.03962,-0.00101,-0.00241,-0.04613,0.37582
114,116736,37.49268,137.36364,0.72727,0.87,0.875307,-0.037579,36.705305,0.00242,2552,0.20179,-0.01,0.03646,0.00134,-0.00187,-0.05451,0.49954
115,117760,54.89159,67.33333,1.0,0.87,0.813541,-0.078173,26.261503,0.001152,2563,0.20006,-0.01,0.04143,-0.00032,-0.00191,-0.00389,0.54533
116,118784,47.78891,92.88889,1.0,0.87,0.804967,0.000493,16.430564,0.000747,2558,0.19018,-0.01,0.04086,-0.0012,-0.00137,0.01722,0.44603
117,119808,49.00514,116.75,0.875,0.86,0.817207,-0.169666,16.833003,0.001378,2323,0.18584,-0.01,0.05021,-0.0003,-0.00196,0.01633,0.3869
118,120832,40.00654,118.46154,0.84615,0.86,0.834591,-0.002859,26.106983,0.002349,2333,0.19622,-0.01,0.05161,0.00012,-0.00123,-0.0574,0.5518
119,121856,55.78306,112.0,0.88889,0.87,0.850994,-0.0004,19.086338,0.000318,2397,0.21125,-0.01,0.05013,-0.00223,-0.00227,0.02001,0.45221
120,122880,59.64672,77.45455,1.0,0.89,0.84936,0.000554,18.835021,0.000961,2413,0.21878,-0.01,0.04875,-0.00185,-0.00116,0.02029,0.617
121,123904,45.31849,141.66667,0.77778,0.89,0.806934,0.091104,48.543847,0.00288,2345,0.21147,-0.01,0.05034,-0.00129,-0.00104,-0.10875,0.38966
122,124928,46.15221,84.08333,1.0,0.89,0.749131,-0.023096,23.783705,0.000697,2365,0.21106,-0.01,0.04749,-0.00144,-0.0005,-0.01816,0.62286
123,125952,32.625,122.57143,0.85714,0.89,0.796113,-0.034339,16.359614,0.001307,2482,0.20158,-0.01,0.05008,-0.00214,-0.0008,-0.03459,0.30214
124,126976,47.69998,104.63636,0.90909,0.92,0.788886,-0.000735,24.000977,0.001334,2359,0.2003,-0.01,0.04983,-0.00077,-0.00178,-0.0313,0.52332
125,128000,52.90964,103.16667,0.91667,0.91,0.831766,0.015205,18.357369,0.000681,2313,0.19321,-0.01,0.04956,-0.00044,-0.00141,-0.00083,0.59131
126,129024,54.55995,76.0,1.0,0.91,0.8948,0.11642,16.840591,0.001753,2416,0.19637,-0.01,0.04737,-0.00104,-0.00168,-0.00499,0.31462
127,130048,41.89763,81.5,1.0,0.92,0.83152,0.042675,18.53224,0.00642,2433,0.20243,-0.01,0.04754,-0.00231,-0.00104,-0.06841,0.20308
128,131072,30.40559,277.83333,0.5,0.89,0.999054,0.002018,15.674508,0.001806,2470,0.22474,-0.01,0.04242,-0.00124,-0.00201,-0.01818,0.14934
129,132096,52.00013,127.16667,0.83333,0.9,0.993846,-0.001089,30.799492,0.000574,2575,0.23808,-0.01,0.03362,-0.0024,-0.00167,-0.01668,0.29511
130,133120,21.14546,252.16667,0.5,0.87,1.028704,0.000666,23.29939,0.001568,2700,0.23875,-0.01,0.03355,-0.00275,-0.00181,-0.01974,0.17207
131,134144,36.85316,123.85714,0.85714,0.87,0.994041,0.001487,37.131832,0.00114,2511,0.23581,-0.01,0.0438,-0.00082,-0.00178,-0.01113,0.29178
132,135168,54.62561,126.85714,0.85714,0.86,1.029831,-0.000215,34.37698,0.003186,2405,0.22538,-0.01,0.03335,-0.00091,-0.00234,-0.005,0.35395
133,136192,39.53317,197.8,0.6,0.84,1.005921,-0.000329,22.240948,0.001629,2644,0.22809,-0.01,0.03191,-0.00231,-0.00242,-0.01925,0.18537
134,137216,55.09187,77.75,1.0,0.84,0.936625,-0.043003,12.866711,0.001137,2705,0.22687,-0.01,0.03552,-0.00214,-0.00177,0.01141,0.22235
135,138240,33.65946,204.0,0.58333,0.81,0.914147,-0.014213,23.167258,0.004115,2384,0.2261,-0.01,0.04406,8e-05,-0.00246,-0.00858,0.39917
136,139264,54.05545,69.63636,1.0,0.81,0.872067,0.149287,43.573971,0.000973,2433,0.22974,-0.01,0.04852,-0.00035,-0.00102,-0.05467,0.66094
137,140288,42.57619,124.5,0.9,0.81,0.962513,-0.053523,27.648459,0.002476,2305,0.22196,-0.01,0.052,-0.00019,-0.00116,-0.03078,0.42596
138,141312,53.02892,77.58333,1.0,0.83,0.876708,0.000837,21.511974,0.000866,2406,0.22169,-0.01,0.05119,0.00085,-0.00096,0.02174,0.64214
139,142336,60.70039,69.71429,1.0,0.83,0.913527,0.000747,33.711744,0.002381,2387,0.22917,-0.01,0.05203,-0.00073,-0.00223,0.00012,0.39918
140,143360,40.59749,132.63636,0.81818,0.83,0.918669,0.079515,20.660602,0.003133,2208,0.23201,-0.01,0.05228,-0.00109,-0.00189,-0.03407,0.45437
141,144384,53.25083,104.66667,0.88889,0.85,0.907207,-0.000622,21.046927,0.001534,2111,0.22632,-0.01,0.05153,-3e-05,-0.00251,-0.00012,0.43944
142,145408,39.63779,116.0,0.77778,0.86,0.90675,0.003114,40.632164,0.002937,2317,0.22564,-0.01,0.04888,-0.00052,-0.00196,-0.03961,0.38587
143,146432,58.27648,70.66667,1.0,0.87,0.957173,2.8e-05,36.477568,0.00094,2326,0.23739,-0.01,0.04666,0.00019,-0.0025,-0.03775,0.54964
144,147456,40.90907,139.38462,0.84615,0.89,1.004054,0.025709,21.059618,0.001133,2098,0.22844,-0.01,0.04785,8e-05,-0.00306,-0.00327,0.55293
